text,acq,alum,barley,bop,carcass,castor-oil,cocoa,coconut,coconut-oil,coffee,copper,copra-cake,corn,cotton,cotton-oil,cpi,cpu,crude,dfl,dlr,dmk,earn,fuel,gas,gnp,gold,grain,groundnut,groundnut-oil,heat,hog,housing,income,instal-debt,interest,ipi,iron-steel,jet,jobs,l-cattle,lead,lei,lin-oil,livestock,lumber,meal-feed,money-fx,money-supply,naphtha,nat-gas,nickel,nkr,nzdlr,oat,oilseed,orange,palladium,palm-oil,palmkernel,pet-chem,platinum,potato,propane,rand,rape-oil,rapeseed,reserves,retail,rice,rubber,rye,ship,silver,sorghum,soy-meal,soy-oil,soybean,strategic-metal,sugar,sun-meal,sun-oil,sunseed,tea,tin,trade,veg-oil,wheat,wpi,yen,zinc
FIRS 87/88 EC BEET SUGAR ESTIMATE UNCHANGED 12.63 MLN TONNES WHITE EQUIVALENT. ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"BRITISH MINISTER CRITICISES PROPOSED EC OILS TAX. A British minister said that a proposed European Community tax on vegetable oils and fats would raise the price of fish and chips and he pledged the government would fight against it. Lord Belstead, a junior agriculture minister, told the House of Lords the tax would raise the price of raw materials used in many processed foods by about 100 pct. He said revenue should not be raised by taxing the consumer and called the proposal ""repugnant."" Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ARGENTINE VEGETABLE OILS SHIPMENTS IN JAN/NOV 1986. Argentine Vegetable oils shipments during January/November 1986 totalled 1,693,951 tonnes, against 1,469,208 tonnes in the same 1985 period, the Argentine grain board said. The breakdown was: cotton 4,000 (27,900), sunflower 929,847 (816,727), linseed 113,827 (132,954), groundnutseed 26,248 (25,508), soybean 603,335 (448,344), tung 8,402 (10,633), olive 2,234 (3,465), maize 6,058 (3,677), rapeseed nil (nil), grape nil (nil), the board added. Shipments during November 1986 amounted to 138,257 tonnes, against 109,250 tonnes in the same month of 1985. The breakdwon was, in tonnes, cotton nil (nil), sunflower 27,715 (43,064), linseed 5,228 (4,473), groundnutseed 819 (3,647), soybean 104,314 (56,901), tung 20 (nil), olive 161 (858), maize nil (307), rapeseed nil (nil), grape nil (nil), the board said. The ten principal destinations during January/November 1986, with comparative figures for the same 1985 period in brackets, were, in tonnes: Holland 201,660 (204,391), Iran 182,042 (181,228), Soviet Union 163,150 (266,389),Egypt 158,119 (159,350), Algeria 116,330 (11,492), Brazil 101,116 (59,430) , South Africa 94,700 (101,062) , Cuba 89,957 (98,740) , United States 80,109 (nil), India 67,182 (17,403), the board added. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"JAPAN STUDY URGES FOREIGN ACCESS TO FARM MARKETS. Japan should increase foreign access to its farm products market, while encouraging further development of domestic agriculture, a government report said. The white paper on agriculture for the year ended March 31 said active participation in writing world farm trade rules at the next round of General Agreement on Tariffs and Trade (GATT) talks will help prepare Japan to improve access. Agriculture Ministry sources said the paper marked an easing in Japan's tough position on agricultural imports which stressed the need for strict controls on some products to maintain self-sufficiency in food. Japan now produces only 30 pct of its annual grain needs, down from 61 pct some 20 years ago, official figures show. The paper said Japanese agriculture has been slow to improve productivity and demand/supply imbalances. The relative shortage of farmland in Japan is mainly responsible for higher domestic prices, it said. The strong yen has meant lower input material prices but has also resulted in higher agricultural imports which has worsened working conditions among part-time farmers, the paper said. This could make it difficult to improve the industry's structure, the paper said. To solve these problems and to reduce farm product prices to more reasonable levels, Japan should try to restructure the the agricultural sector to improve productivity and make it self-supporting, it said. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCC ACCEPTS EXPORT BONUS FOR CATTLE TO EGYPT. The U.S. Commodity Credit Corporation (CCC) has accepted a bid for an export bonus to cover a sale of 186 head of dairy cattle to Egypt, the U.S. Agriculture Department said. The department said the cattle are for delivery May 7-June 7, 1987, and the bonus awarded was 1,888.06 dlrs per head. The bonus was made to First Interstate Trading Co and will be paid to the exporter in the form of commodities from CCC stocks, the department said. An additional 7,959 head of dairy cattle are still available to Egypt under the Export Enhancement Program initiative announced September 12, 1986, it said. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987. Vietnam will resettle 300,000 people on state farms known as new economic zones in 1987, to create jobs and grow more high-value export crops, the communist party newspaper Nhan Dan said. Yesterday's edition, received here today, said Vietnam would invest one billion dong, including the costs of relocation, in 272 new economic zones. About one third of that sum would be spent on export crops such as coffee, tea, rubber and pepper in the Central Highlands, it said. Since 1975, Vietnam has resettled about three million people from cities and crowded river deltas to the zones. REUTER ",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"HOUSE 0/92 FARM PLAN MARKUP DELAYED TILL TUESDAY. A House Agriculture Committee meeting to draft a disaster aid bill containing a controversial 0/92 provision has been postponed until next Tuesday, committee staff members announced. The bill contains a provision implementing a 0/92 acreage reduction plan for 1986 wheat and 1987 winter wheat, thereby making payments available to farmers who were not able to plant last year's winter wheat crop because of flooding. Controversy exists over whether the 0/92 provisions of the bill should be expanded, cut back or left as is. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LMFE TO CONCENTRATE ON CASH SETTLED CONTRACTS. The London Meat Futures Exchange, LMFE, will cease trading in its deliverable pigmeat contract from April 3, the LMFE said. The move will enable the exchange to concentrate on the cash settled contracts introduced last year. ""This allows the exchange and its members to concentrate our marketing on the pig and live cattle contracts,"" LMFE official Peter Freeman said. ""These two have already shown their effectiveness for hedging, and the trade in both contracts is increasing,"" he added. ""Using the futures market allows better planning and forward price fixing that our industry needs,"" chairman Pat Elmer said. Some 131 pig contracts were settled against the Meat and Livestock Commission's Average All Pigs Price in February, which represents hedging for over 13,000 pigs, more than twice the number cash-settled in January, the LMFE said. Cash settlement on the new cattle and pig contracts was introduced last June in the expectation that the appeal of the futures market to farmers, abattoirs and users of meat would increase because of the absence of a delivery requirement. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTHERN TEXAS GRAIN DIFFERENTIALS ADJUSTED. Posted county prices in 99 southern Texas counties have been changed to reflect only one market differential instead of the usual two-terminal market pricing system, a senior Agriculture Department official said. Interior grain and soybean prices in the affected counties will now be based solely against the Texas Gulf. Prior to the change, county prices were also priced against the Amarillo market. The changes were made to better reflect local market conditions, said Ralph Klopfenstein, deputy administrator for commodity operations at USDA. ""The Texas Gulf has always been the dominant market in those counties. Amarillo never became effective for that area,"" Klopfenstein told Reuters. Reuter ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAPAN ACTIVELY BOUGHT U.S. CORN LAST WEEK - TRADE. Japanese feed and starch makers actively bought U.S. Corn last week, C and F basis, for July/September shipment in view of bullish freight rates following active inquiries by the Soviet Union, trade sources said. Some said the makers were seen buying some 30 pct of their requirements, estimated at about three mln tonnes for the three-month shipment period. ""Belief is growing that freight rates will not decline sharply from current high levels even in the usually sluggish summer season because the Soviet Union's chartering is seen continuing five to seven months from April,"" one source said. The sources said Japanese trading houses were seen covering a total of 500,000 tonnes of Chinese corn for shipment in May to October. But they are believed to have not yet sold most of the corn to end-users in anticipation of further corn price rises in the world market. Supply from Argentina and South Africa for July/September is still uncertain. But the sources forecast supplies from Argentina may fall to 400,000 to 500,000 tonnes from an anticipated 800,000 in calendar 1987 and from South Africa to 700,000 to 800,000 tonnes from an estimated one mln in light of tighter export availability. REUTER ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
